Electricity Pricing [£/kWh],6h Prediction Electricity Pricing [£/kWh],12h Prediction Electricity Pricing [£/kWh],24h Prediction Electricity Pricing [£/kWh]
0.2393,0.35,0.2051,0.2258
0.2272,0.35,0.1876,0.2001
0.2183,0.2953,0.1764,0.1929
0.2139,0.2789,0.1706,0.1919
0.2183,0.2668,0.1709,0.2086
0.35,0.2348,0.1712,0.35
0.35,0.2051,0.175,0.35
0.35,0.1876,0.1918,0.35
0.2953,0.1764,0.2263,0.2983
0.2789,0.1706,0.2602,0.2723
0.2668,0.1709,0.2679,0.2595
0.2348,0.1712,0.2261,0.2106
0.2051,0.175,0.2258,0.2179
0.1876,0.1918,0.2001,0.1934
0.1764,0.2263,0.1929,0.1838
0.1706,0.2602,0.1919,0.1776
0.1709,0.2679,0.2086,0.1782
0.1712,0.2261,0.35,0.1751
0.175,0.2258,0.35,0.1789
0.1918,0.2001,0.35,0.1959
0.2263,0.1929,0.2983,0.2152
0.2602,0.1919,0.2723,0.265
0.2679,0.2086,0.2595,0.2642
0.2261,0.35,0.2106,0.2407
0.2258,0.35,0.2179,0.216
0.2001,0.35,0.1934,0.2139
0.1929,0.2983,0.1838,0.227
0.1919,0.2723,0.1776,0.2128
0.2086,0.2595,0.1782,0.2062
0.35,0.2106,0.1751,0.329
0.35,0.2179,0.1789,0.35
0.35,0.1934,0.1959,0.35
0.2983,0.1838,0.2152,0.2459
0.2723,0.1776,0.265,0.2151
0.2595,0.1782,0.2642,0.226
0.2106,0.1751,0.2407,0.1987
0.2179,0.1789,0.216,0.2187
0.1934,0.1959,0.2139,0.2018
0.1838,0.2152,0.227,0.1918
0.1776,0.265,0.2128,0.1853
0.1782,0.2642,0.2062,0.1832
0.1751,0.2407,0.329,0.1845
0.1789,0.216,0.35,0.1863
0.1959,0.2139,0.35,0.1765
0.2152,0.227,0.2459,0.187
0.265,0.2128,0.2151,0.1886
0.2642,0.2062,0.226,0.2188
0.2407,0.329,0.1987,0.2403
0.216,0.35,0.2187,0.2416
0.2139,0.35,0.2018,0.2356
0.227,0.2459,0.1918,0.2129
0.2128,0.2151,0.1853,0.2038
0.2062,0.226,0.1832,0.1865
0.329,0.1987,0.1845,0.3378
0.35,0.2187,0.1863,0.35
0.35,0.2018,0.1765,0.35
0.2459,0.1918,0.187,0.2869
0.2151,0.1853,0.1886,0.2625
0.226,0.1832,0.2188,0.2547
0.1987,0.1845,0.2403,0.2249
0.2187,0.1863,0.2416,0.2315
0.2018,0.1765,0.2356,0.2117
0.1918,0.187,0.2129,0.2062
0.1853,0.1886,0.2038,0.1881
0.1832,0.2188,0.1865,0.1861
0.1845,0.2403,0.3378,0.1891
0.1863,0.2416,0.35,0.1835
0.1765,0.2356,0.35,0.1893
0.187,0.2129,0.2869,0.1863
0.1886,0.2038,0.2625,0.1852
0.2188,0.1865,0.2547,0.1949
0.2403,0.3378,0.2249,0.2485
0.2416,0.35,0.2315,0.2503
0.2356,0.35,0.2117,0.2494
0.2129,0.2869,0.2062,0.2102
0.2038,0.2625,0.1881,0.2013
0.1865,0.2547,0.1861,0.1946
0.3378,0.2249,0.1891,0.35
0.35,0.2315,0.1835,0.35
0.35,0.2117,0.1893,0.35
0.2869,0.2062,0.1863,0.2753
0.2625,0.1881,0.1852,0.2613
0.2547,0.1861,0.1949,0.2582
0.2249,0.1891,0.2485,0.2029
0.2315,0.1835,0.2503,0.2371
0.2117,0.1893,0.2494,0.1896
0.2062,0.1863,0.2102,0.1852
0.1881,0.1852,0.2013,0.1829
0.1861,0.1949,0.1946,0.1761
0.1891,0.2485,0.35,0.1682
0.1835,0.2503,0.35,0.1852
0.1893,0.2494,0.35,0.1948
0.1863,0.2102,0.2753,0.2205
0.1852,0.2013,0.2613,0.2811
0.1949,0.1946,0.2582,0.2882
0.2485,0.35,0.2029,0.2865
0.2503,0.35,0.2371,0.2875
0.2494,0.35,0.1896,0.2932
0.2102,0.2753,0.1852,0.269
0.2013,0.2613,0.1829,0.2647
0.1946,0.2582,0.1761,0.2437
0.35,0.2029,0.1682,0.35
0.35,0.2371,0.1852,0.35
0.35,0.1896,0.1948,0.35
0.2753,0.1852,0.2205,0.3301
0.2613,0.1829,0.2811,0.296
0.2582,0.1761,0.2882,0.2778
0.2029,0.1682,0.2865,0.22
0.2371,0.1852,0.2875,0.2049
0.1896,0.1948,0.2932,0.1913
0.1852,0.2205,0.269,0.1918
0.1829,0.2811,0.2647,0.183
0.1761,0.2882,0.2437,0.1791
